@relation Cardiotocography
@attribute LB real
@attribute AC real
@attribute FM real
@attribute UC real
@attribute DL real
@attribute DS real
@attribute DP real
@attribute ASTV real
@attribute MSTV real
@attribute ALTV real
@attribute MLTV real
@attribute Width real
@attribute Min real
@attribute Max real
@attribute Nmax real
@attribute Nzeros real
@attribute Mode real
@attribute Mean real
@attribute Median real
@attribute Variance real
@attribute Tendency real
@attribute NSP {1,2,3}
@attribute class {1,2,3,4,5,6,7,8,9,10}
@data
118,0,0,0.007,0,0,0,26,1.2,0,11.1,44,100,144,3,0,120,119,120,2,0,1,1
133,0,0.003,0,0,0,0,45,0.9,0,17.9,38,121,159,3,0,133,135,136,5,0,1,3
130,0,0.009,0.008,0,0,0,73,2.1,12,1.4,27,124,151,2,0,128,127,130,1,-1,1,1
130,0,0.002,0,0,0,0,59,0.4,37,6.6,21,125,146,2,0,129,132,132,2,-1,1,1
120,0,0.005,0.003,0,0,0,38,1.3,0,16,59,103,162,4,0,119,120,121,4,-1,1,3
112,0,0,0.005,0,0,0,26,1.3,0,10.1,37,90,127,2,1,114,114,116,2,1,1,1
121,0,0.002,0.002,0.015,0,0,61,2,0,4.9,98,62,160,8,0,114,100,106,59,0,3,8
130,0.004,0,0.001,0,0,0,75,0.6,10,5.4,32,126,158,3,0,139,139,140,3,0,1,2
148,0,0.019,0,0,0,0,70,0.3,71,3.8,14,139,153,1,0,150,148,150,0,1,3,9
129,0.011,0,0.008,0,0,0,21,1.5,0,4.5,54,108,162,4,0,144,142,144,8,1,1,4
150,0,0,0,0.001,0,0,76,0.2,43,5.2,35,123,158,1,0,154,153,155,1,1,2,10
130,0.001,0.002,0,0,0,0,56,0.5,34,7.2,55,125,180,4,0,129,132,132,3,-1,1,1
135,0,0,0,0,0,0,62,0.5,71,6.9,97,71,168,3,0,143,142,144,1,1,3,9
129,0,0.002,0.005,0.013,0,0,58,4.3,0,0,158,72,230,10,1,111,88,126,33,-1,1,7
129,0,0.008,0.002,0,0,0,55,0.6,0,10.3,58,101,159,3,0,140,138,140,2,0,2,5
133,0.007,0,0.006,0.006,0,0,17,2.4,0,2.1,98,82,180,4,0,126,137,138,61,0,1,6
130,0,0.001,0,0,0,0,56,0.5,33,7.5,19,125,144,2,0,129,131,132,2,-1,1,1
132,0,0,0.008,0.002,0,0.002,30,1.7,0,0,90,60,150,3,0,99,104,102,33,0,3,8
150,0,0.001,0,0,0,0,84,0.3,32,6.2,20,136,156,0,0,150,150,151,1,1,3,9
120,0.004,0,0.009,0.002,0,0,50,1.6,7,8.1,118,53,171,7,2,125,126,127,14,0,1,2
123,0.01,0.002,0.007,0,0,0,53,3.4,0,0,109,84,193,6,1,146,129,146,15,0,1,4
142,0,0.005,0,0,0,0,57,0.8,32,14.5,100,56,156,10,0,144,142,144,3,1,1,1
136,0,0.005,0.006,0.008,0,0.002,63,2.2,0,5,85,67,152,6,0,134,116,128,53,1,1,7
157,0.006,0.004,0.002,0,0,0,50,0.6,0,5.6,39,153,192,1,0,165,166,166,4,-1,1,2
122,0,0,0.003,0.002,0,0,36,1,12,7.7,42,87,129,2,0,123,117,121,10,1,1,7
130,0.003,0,0.007,0,0,0,37,0.9,0,13.4,43,112,155,3,0,136,134,135,3,0,1,2
121,0.005,0.004,0.005,0.006,0,0,56,1.8,0,2.6,99,70,169,6,0,124,120,125,37,0,1,6
114,0,0,0.008,0,0,0,65,0.4,0,11.5,22,104,126,1,0,115,115,116,0,0,1,1
131,0.007,0,0.007,0.005,0,0,42,0.9,0,3.2,79,74,153,2,0,142,136,142,24,1,1,6
133,0.001,0,0.01,0.004,0,0.002,61,2.7,0,0,132,52,184,5,0,125,96,110,103,0,3,8
121,0.006,0.004,0.004,0.006,0,0,56,1.9,0,3,99,70,169,5,1,124,121,127,38,0,1,6
128,0,0,0.006,0,0,0,30,1.2,0,14.2,77,119,196,3,0,148,154,155,13,0,2,5
146,0.005,0,0.005,0.001,0,0,27,1.5,0,14.4,55,119,174,5,0,155,152,155,8,0,1,2
139,0.002,0.002,0.004,0,0,0,61,0.4,8,6.4,17,138,155,1,0,147,146,148,0,0,2,10
138,0.003,0.002,0.007,0.008,0,0,51,2.3,0,4.5,112,60,172,6,0,138,131,139,41,1,1,6
129,0,0.011,0.007,0.015,0,0,22,4.8,0,0,138,50,188,7,2,129,114,120,60,0,1,7
131,0.001,0,0.003,0,0,0,29,1,0,12.4,27,122,149,0,0,136,136,138,2,0,1,1
125,0,0,0.008,0,0,0,34,1.1,0,14.6,85,114,199,4,0,126,127,128,3,-1,1,1
135,0.002,0,0,0,0,0,63,0.5,8,5.4,33,133,166,1,0,141,142,143,1,-1,2,10
134,0.004,0.032,0.004,0.001,0,0,65,2.3,0,1.3,34,127,161,1,0,138,129,140,3,-1,1,2
122,0.002,0,0,0.002,0,0,17,2,0,18.8,46,102,148,2,0,119,123,123,8,0,1,3
129,0,0.002,0,0,0,0,69,0.3,14,7.6,25,127,152,0,0,139,135,136,4,-1,2,5
133,0,0.001,0.005,0,0,0,77,0.9,34,4.4,17,130,147,1,0,136,135,137,0,0,1,1
130,0.007,0.001,0.001,0,0,0,71,0.7,10,4,31,127,158,1,0,139,140,141,3,0,1,2
142,0.004,0,0.006,0.011,0,0,32,1.8,0,0,115,67,182,2,0,157,133,142,115,1,1,6
132,0.008,0,0.009,0.012,0,0,55,2.7,0,0,123,60,183,5,0,144,118,142,100,1,1,6
151,0,0,0.006,0.006,0,0,53,2.9,3,21.4,149,51,200,11,7,156,147,155,75,1,2,7
122,0.004,0,0.006,0.006,0,0,21,1.7,0,6.7,69,74,143,4,0,133,121,126,32,1,1,6
120,0,0,0.005,0.009,0,0.001,62,1.5,0,8.8,85,69,154,5,1,86,102,101,64,-1,3,8
145,0.014,0.026,0.001,0,0,0,40,1.1,0,1.2,113,73,186,4,0,165,163,165,11,1,1,4
140,0.001,0,0.007,0,0,0,78,0.4,22,7.1,66,103,169,6,0,152,148,151,3,1,2,5
131,0.007,0,0.007,0.002,0,0,52,1.4,0,2.4,68,99,167,3,0,140,139,141,8,0,1,2
145,0.005,0,0.003,0,0,0,46,0.8,0,8.4,31,140,171,2,0,153,152,152,3,0,1,2
129,0,0.001,0.006,0.006,0,0.002,66,3.2,0,0,96,50,146,8,0,105,82,108,10,0,3,8
144,0.001,0,0.005,0,0,0,30,1.1,0,13.5,43,122,165,0,0,148,147,149,3,0,1,1
140,0.001,0,0.001,0,0,0,52,0.8,0,16.2,108,57,165,7,0,146,145,147,4,1,1,1
157,0.008,0.003,0.002,0,0,0,49,0.7,0,4.9,39,153,192,0,0,163,166,166,6,-1,1,2
122,0,0,0.001,0,0,0,40,0.7,12,8,23,106,129,1,0,125,121,124,3,1,1,1
159,0.001,0,0.008,0,0,0,57,0.5,8,9.1,40,148,188,0,0,167,169,170,5,0,2,5
132,0,0,0.004,0,0,0,23,1.5,0,13.1,42,106,148,5,0,138,136,138,3,1,1,1
138,0.006,0.002,0.002,0.005,0,0,50,1.7,0,5.6,102,70,172,6,0,142,139,144,26,1,1,6
121,0.006,0,0.009,0,0,0,39,0.9,0,8.6,58,95,153,4,0,150,131,132,47,0,1,2
131,0.009,0.001,0.004,0.001,0,0,55,2,0,2.7,85,84,169,6,0,132,140,145,26,1,1,2
143,0,0,0.001,0,0,0,69,0.3,6,9.4,27,132,159,1,0,145,144,146,1,0,1,1
139,0.013,0,0.009,0,0,0,50,0.9,0,13.4,71,107,178,4,0,162,153,158,25,1,1,2
134,0.008,0.002,0.008,0.005,0,0,59,1.1,0,0,99,88,187,5,0,151,145,152,44,0,1,6
133,0.008,0.443,0.005,0.005,0,0,24,2.1,0,13.4,125,53,178,6,0,143,128,138,69,1,1,6
110,0.002,0,0.007,0.001,0,0,63,0.8,0,10.9,64,92,156,3,0,112,113,113,14,-1,1,2
146,0,0.003,0,0,0,0,81,0.2,67,3.9,13,137,150,1,0,146,144,146,1,0,3,9
138,0.001,0,0.004,0,0,0,43,1.1,20,11.3,44,129,173,8,2,162,155,159,8,1,2,5
125,0.002,0,0.004,0.002,0,0,36,1,10,9.6,54,93,147,1,0,126,127,128,3,0,1,1
126,0,0,0.008,0,0,0,33,1,0,13.7,32,109,141,1,0,131,131,133,2,1,1,1
134,0.002,0,0.01,0.005,0,0,26,1.8,10,15.1,82,82,164,5,0,147,133,137,40,1,1,6
127,0.01,0,0.009,0.001,0,0,24,1.5,0,0,72,109,181,4,0,153,150,154,16,0,1,4
142,0.008,0,0.007,0,0,0,44,0.9,0,7,46,127,173,2,0,149,149,150,4,0,1,2
137,0,0,0.004,0,0,0,61,0.4,34,5.9,15,132,147,1,0,142,140,142,0,0,2,10
130,0,0.001,0,0,0,0,59,0.4,34,6.8,21,125,146,1,0,129,132,133,3,-1,1,1
146,0.009,0.006,0.002,0,0,0,40,2,0,26.1,133,50,183,8,0,156,154,157,20,1,1,2
132,0.001,0,0.004,0.004,0,0,28,1.6,4,17.9,97,56,153,9,3,136,130,135,25,1,1,7
133,0.008,0.017,0.004,0,0,0,36,3.1,0,27.6,105,54,159,4,0,143,137,142,28,1,1,2
134,0.002,0.002,0,0.002,0,0.004,63,1.5,0,0,100,71,171,4,1,89,105,105,72,-1,3,8
142,0,0.045,0,0,0,0,55,0.6,5,12.2,44,116,160,4,0,145,145,147,2,1,1,1
138,0,0.01,0,0,0,0,38,1.2,0,19.7,90,71,161,3,0,144,141,142,5,1,1,3
141,0.008,0,0.002,0,0,0,46,0.8,4,10.2,98,69,167,3,0,143,146,146,6,1,1,2
135,0.003,0,0.007,0,0,0,29,1.3,0,10.4,37,123,160,3,0,138,139,140,3,0,1,2
132,0.008,0,0.002,0.005,0,0,20,2.1,0,8,102,74,176,9,2,141,136,140,24,0,1,6
143,0,0,0.004,0,0,0,66,0.4,4,10.2,22,132,154,1,0,144,143,145,1,0,1,1
125,0,0.001,0.009,0.008,0,0.001,64,1.1,0,5,82,64,146,5,2,116,110,115,10,0,1,7
130,0.004,0,0.006,0,0,0,48,0.7,32,6.7,53,102,155,5,0,137,136,138,2,0,1,2
122,0,0,0,0,0,0,19,1.9,0,15.1,39,103,142,1,0,120,120,122,3,0,1,3
138,0.012,0,0.005,0,0,0,37,1.2,0,4.1,48,120,168,0,1,146,147,148,4,0,1,2
141,0,0.002,0,0,0,0,67,0.4,44,9.2,78,70,148,2,0,143,141,143,1,1,2,10
135,0.011,0,0.005,0.002,0,0,25,2.5,0,4.6,89,89,178,5,2,143,145,147,10,0,1,2
132,0.008,0,0.012,0.005,0,0,25,1.5,0,0,115,76,191,3,1,160,138,149,119,1,1,6
142,0.016,0.06,0.004,0,0,0,38,1.3,0,0,130,68,198,5,0,180,173,177,14,1,1,4
131,0.001,0,0.005,0.003,0,0,27,1.4,0,12.2,84,71,155,2,0,136,132,137,15,1,1,7
135,0.003,0,0.003,0.003,0,0,24,1.5,0,13.1,55,102,157,4,0,136,134,136,9,0,1,6
130,0.002,0,0.014,0.014,0,0,59,2.1,0,0,127,50,177,8,2,121,101,115,79,0,3,8
120,0.008,0,0.005,0,0,0,43,1.4,5,18.4,106,50,156,8,0,129,129,130,11,1,1,2
133,0.005,0.157,0.008,0.003,0,0,26,1.6,0,14.2,70,88,158,2,0,140,135,139,12,1,1,6
132,0.005,0,0.002,0.003,0,0,25,1.5,0,11,92,76,168,4,2,141,138,140,16,1,1,6
125,0,0,0.01,0.005,0,0.001,65,1.2,0,6.3,70,76,146,3,0,116,111,114,8,0,1,7
125,0.011,0,0,0,0,0,37,1.6,0,12.2,126,68,194,3,1,127,133,134,12,0,1,2
120,0,0.026,0,0,0,0,53,0.8,0,15.3,69,62,131,3,0,125,121,124,5,1,1,3
129,0.003,0.003,0,0,0,0,61,0.6,2,10.8,122,65,187,7,1,129,132,133,5,0,1,2
130,0.005,0.469,0.005,0.004,0,0.001,29,1.7,0,7.8,112,65,177,6,1,133,129,133,27,0,1,6
146,0.006,0,0.005,0,0,0,37,0.9,0,7.9,49,126,175,2,0,155,152,154,4,0,1,2
126,0.007,0,0.007,0,0,0,30,1.2,0,4.3,49,107,156,3,0,127,134,134,11,0,1,2
134,0,0,0.005,0.003,0,0,31,1.4,17,14.6,82,82,164,4,0,147,135,139,30,1,1,7
112,0.002,0,0.007,0.001,0,0,23,1.5,1,9.2,55,89,144,5,0,114,114,116,4,0,1,6
136,0.014,0,0.005,0,0,0,23,2.4,0,5.9,52,117,169,2,0,143,145,146,7,0,1,2
142,0,0,0.009,0.007,0,0,44,1.5,33,5.7,115,67,182,2,1,157,141,153,87,1,1,7
138,0,0,0.001,0,0,0,41,0.7,37,7.8,25,129,154,2,0,140,140,141,1,0,1,1
136,0.006,0,0.005,0.001,0,0,39,0.8,0,4.5,63,115,178,5,0,148,152,152,12,0,1,2
130,0.004,0,0.007,0,0,0,40,0.9,1,9.1,53,102,155,6,1,136,135,137,3,0,1,1
126,0.013,0.002,0.007,0.001,0,0,53,2.5,0,0.3,85,84,169,3,0,135,133,140,13,0,1,2
106,0,0,0.009,0,0,0,64,0.6,0,10.4,20,102,122,1,0,111,111,112,0,0,1,1
147,0,0,0,0,0,0,60,0.4,12,5.5,10,144,154,0,0,150,149,150,0,0,2,10
146,0,0,0.001,0,0,0,53,0.5,32,8.2,27,136,163,2,1,160,156,158,2,1,1,1
144,0.004,0,0.006,0,0,0,32,1.2,0,12.6,58,117,175,4,0,148,150,150,8,0,1,2
127,0.003,0.005,0.002,0,0,0,58,0.5,0,8.3,38,113,151,3,0,129,134,136,6,0,1,2
132,0.005,0,0.011,0.014,0,0,58,2.9,0,0,115,63,178,4,0,112,110,121,64,0,1,6
144,0,0,0.007,0.003,0,0,22,1.8,0,21.3,76,96,172,3,2,148,144,147,11,1,1,7
127,0,0,0.006,0,0,0,62,0.5,73,4,12,119,131,1,0,123,124,125,0,0,1,1
148,0,0,0.006,0,0,0,51,0.5,59,4.8,11,152,163,1,0,160,159,161,0,1,1,1
143,0,0,0.002,0,0,0,65,0.6,7,12.9,29,129,158,4,1,150,145,146,5,0,2,10
133,0.003,0,0.006,0,0,0,34,1.1,6,14.5,58,101,159,4,0,142,139,142,4,1,1,2
141,0.002,0,0.006,0.003,0,0,36,1.3,9,9.8,79,92,171,6,0,145,143,146,10,1,1,6
129,0.003,0.016,0,0,0,0,52,0.7,0,11.5,80,68,148,10,0,133,134,134,3,1,1,2
143,0,0,0.003,0,0,0,67,0.4,6,9.6,26,133,159,1,0,144,144,145,1,0,1,1
134,0.005,0.002,0.002,0.003,0,0.003,62,1.5,0,0,113,71,184,4,0,89,113,110,148,-1,3,8
126,0.001,0,0.005,0,0,0,34,0.9,3,10.2,41,110,151,2,0,126,128,129,4,0,1,2
134,0.008,0,0.01,0.005,0,0,60,1.1,0,9.3,109,80,189,8,0,156,145,154,70,1,1,6
146,0,0,0.006,0,0,0,39,0.8,38,5.5,18,148,166,1,0,154,155,156,1,0,1,1
139,0,0.009,0,0,0,0,62,0.7,27,11.5,111,73,184,4,0,148,147,148,2,1,1,1
132,0,0,0.003,0,0,0,30,1.1,0,13.7,52,97,149,4,1,133,133,135,3,1,1,1
119,0,0,0.003,0,0,0,23,1.5,0,16.1,39,106,145,3,1,125,124,126,3,0,1,3
127,0,0.001,0.005,0,0,0,66,0.8,58,4.1,19,120,139,1,0,123,125,127,1,-1,1,1
133,0,0.003,0.002,0,0,0,55,0.5,16,9.2,22,125,147,1,0,137,136,137,1,0,1,1
139,0.004,0,0.005,0,0,0,34,1.1,0,14.1,36,129,165,2,0,144,143,144,2,0,1,2
125,0.01,0.007,0.002,0,0,0,19,1.9,0,6.8,96,101,197,8,1,133,131,133,5,-1,1,2
138,0.001,0,0.003,0,0,0,32,3.2,0,15.2,68,124,192,4,1,160,158,159,11,0,2,5
123,0.01,0.001,0.003,0,0,0,55,2,0,1.1,75,85,160,6,0,140,134,138,10,1,1,2
139,0.009,0,0.007,0,0,0,54,1,0,18.1,85,96,181,5,0,148,147,148,12,0,1,2
131,0.01,0,0.006,0.001,0,0,52,1.3,0,2.8,56,111,167,2,0,138,140,142,8,0,1,2
126,0.005,0,0.01,0,0,0,29,1.2,0,4.8,36,108,144,3,0,127,131,131,4,0,1,2
142,0.005,0,0.001,0,0,0,39,0.8,0,10.2,53,106,159,7,0,150,149,151,2,1,1,2
138,0.017,0,0.005,0,0,0,35,5.3,0,4.5,148,52,200,11,2,146,157,161,72,1,1,4
138,0,0.001,0.005,0.001,0,0.002,57,1.4,10,8.9,132,60,192,9,1,142,127,138,75,0,2,7
128,0,0.007,0.008,0.009,0,0,63,3,0,1.5,96,64,160,5,2,127,109,128,24,0,1,7
142,0.001,0,0.005,0.012,0,0,23,3.6,0,1.9,144,50,194,12,1,143,127,135,72,0,1,7
146,0.01,0,0.004,0,0,0,35,1,0,3.4,52,126,178,2,0,155,154,155,4,0,1,2
152,0,0,0.002,0,0,0,59,0.5,50,9.1,36,128,164,2,0,160,157,160,2,1,1,1
125,0.006,0.053,0.006,0.005,0,0,20,2.5,0,7.1,134,63,197,8,1,125,125,127,16,0,1,6
137,0.001,0,0.005,0,0,0,61,0.4,45,5.1,22,133,155,2,0,142,140,142,0,0,2,10
133,0.01,0,0.007,0,0,0,32,1.4,0,6.3,83,96,179,5,0,163,149,149,37,0,1,4
125,0,0.005,0.001,0,0,0,66,0.3,46,5.8,21,112,133,0,0,125,124,126,0,0,2,10
125,0.002,0.014,0.006,0.008,0,0,18,2.7,0,6.3,125,53,178,10,0,131,115,121,72,0,1,7
115,0,0,0.005,0.002,0,0,20,1.7,0,14,59,89,148,1,1,120,118,121,4,0,1,1
122,0.007,0,0.003,0,0,0,19,2.3,0,12.1,53,104,157,2,1,125,127,128,8,0,1,2
142,0.003,0.048,0.003,0.006,0,0.001,66,3.5,0,0.3,143,67,210,7,0,142,108,147,85,0,1,6
142,0.001,0.001,0.003,0,0,0,54,0.6,0,11,52,120,172,3,0,148,145,147,2,0,1,1
131,0.002,0.383,0.003,0.005,0,0.002,18,2.4,0,13.9,107,67,174,5,0,134,125,132,45,0,2,7
130,0.004,0,0.009,0.009,0,0,25,1.7,0,0,94,76,170,6,0,133,119,121,73,0,1,6
133,0.001,0,0.006,0,0,0,50,0.8,5,11.3,57,94,151,3,0,136,136,137,1,1,1,1
138,0.014,0,0.003,0,0,0,51,1,0,2.7,64,107,171,3,1,147,148,149,6,0,1,2
137,0,0,0.007,0.003,0,0,58,1.9,0,6.5,102,64,166,10,2,142,134,141,14,1,1,7
140,0,0.002,0.004,0.008,0,0,62,1.4,0,4.9,93,66,159,5,1,142,134,144,30,1,1,7
115,0.005,0,0.006,0.001,0,0,20,1.6,0,10.7,86,71,157,5,0,116,119,118,11,0,1,2
136,0.004,0.001,0,0.001,0,0,69,0.8,0,17.2,126,54,180,5,0,140,139,141,7,1,1,6
132,0,0,0.01,0,0,0,16,2.5,0,33.5,105,54,159,9,1,136,131,134,15,1,1,3
122,0.002,0,0.002,0,0,0.001,31,1.2,1,8.3,60,87,147,2,1,120,119,123,9,0,1,6
120,0.001,0.008,0.003,0.001,0,0,42,1.1,0,12.9,116,54,170,10,0,115,118,117,14,0,1,2
133,0,0.004,0.008,0.004,0,0,62,2.2,0,0.5,48,97,145,2,0,133,123,129,11,1,1,7
115,0.002,0,0.009,0.004,0,0.002,15,2.3,0,5.6,92,77,169,4,1,114,109,110,33,-1,1,7
133,0.014,0,0.004,0.001,0,0,28,1.6,0,0,89,91,180,7,1,163,152,158,34,1,1,4
120,0,0,0.003,0,0,0,45,0.8,0,11.2,27,109,136,2,0,123,124,126,2,0,1,1
158,0.005,0,0.008,0.001,0,0,27,1.7,0,14.9,120,77,197,7,0,170,168,170,14,1,1,2
132,0,0,0.008,0,0,0,51,0.6,2,9.6,25,116,141,1,0,136,135,137,1,1,1,1
127,0.006,0,0.006,0,0,0,33,1,0,6.7,54,114,168,3,0,131,135,133,12,-1,1,2
136,0.008,0.007,0,0,0,0,40,2.3,0,19.4,139,51,190,5,5,144,142,145,17,1,1,2
137,0.001,0,0.005,0,0,0,59,0.5,25,7.1,31,132,163,2,1,142,141,142,2,-1,1,1
150,0,0.024,0,0,0,0,79,0.2,84,2.8,5,147,152,1,0,150,149,151,0,0,3,9
120,0,0,0.003,0,0,0,50,0.7,26,6,20,116,136,0,0,125,123,125,1,0,1,1
121,0.003,0.002,0.002,0.004,0,0,57,1.6,0,13.6,99,67,166,7,1,122,119,123,24,0,1,6
145,0,0,0.002,0,0,0,49,0.6,3,11.6,27,140,167,0,0,159,156,158,3,1,2,5
159,0,0,0.008,0,0,0,66,0.4,13,8.5,24,149,173,0,0,165,164,166,0,1,2,10
133,0,0,0,0,0,0,73,0.3,84,3.5,8,131,139,1,0,134,134,135,0,0,3,9
145,0.004,0,0.007,0,0,0,55,0.6,8,5.9,27,138,165,5,0,149,150,151,2,0,1,2
132,0,0,0.006,0,0,0,35,1.3,0,27.4,71,79,150,4,0,133,135,137,9,1,1,3
114,0,0,0.008,0,0,0,64,0.5,0,12.4,26,100,126,1,0,115,114,116,1,0,1,1
129,0.012,0,0.008,0,0,0,22,1.6,0,0,58,108,166,4,0,141,142,144,11,0,1,4
140,0,0,0.004,0,0,0,48,0.9,21,9.5,37,135,172,2,1,151,152,152,3,0,2,5
154,0.007,0.001,0.002,0,0,0,45,0.8,0,3.5,47,142,189,2,1,161,166,165,10,0,1,2
145,0.003,0.003,0.001,0,0,0,34,1.7,0,22.3,117,57,174,6,1,150,147,150,11,1,1,2
141,0,0,0.003,0,0,0,61,0.4,22,6.9,19,133,152,1,0,144,143,145,0,0,2,10
125,0,0,0.008,0,0,0,32,1.1,3,13,51,96,147,4,0,126,125,127,2,0,1,1
159,0,0,0.004,0,0,0,69,0.3,21,6.4,15,153,168,0,0,163,163,164,0,1,2,10
132,0.007,0,0.01,0.011,0,0,56,2.8,0,0,116,70,186,5,0,106,115,133,113,-1,1,6
129,0.009,0,0.004,0,0,0,24,1.5,0,13.4,45,114,159,1,0,133,138,138,9,0,1,2
138,0.01,0,0.009,0,0,0,42,1.4,0,0,51,120,171,0,1,157,153,155,8,1,1,4
134,0.008,0.001,0.01,0.006,0,0,61,1.1,0,3.7,109,80,189,10,0,156,144,151,61,0,1,6
148,0.004,0,0.005,0,0,0,36,0.8,8,9.4,45,135,180,3,0,157,157,158,3,0,1,2
148,0,0,0.003,0,0,0,38,0.9,17,12.2,34,135,169,3,0,157,155,158,3,0,2,5
139,0.002,0.002,0.002,0,0,0,64,0.4,29,6.5,28,135,163,1,0,161,152,157,13,1,2,5
122,0.001,0,0.003,0,0,0,21,1.8,2,14.9,54,100,154,3,0,126,125,127,4,0,1,1
144,0.008,0,0.007,0,0,0,33,1.1,0,6.2,100,78,178,5,0,149,152,152,8,1,1,2
134,0.003,0,0,0,0,0.005,65,1.8,0,0,114,66,180,8,1,88,100,101,83,-1,3,8
143,0,0,0.001,0,0,0,69,0.3,8,9.9,27,132,159,1,0,146,145,146,1,0,1,1
142,0,0,0.007,0,0,0,58,0.4,9,7.9,20,136,156,0,0,148,147,149,1,0,1,1
142,0.003,0.05,0.002,0.006,0,0.001,66,3.3,0,0.3,113,67,180,7,0,141,111,147,90,1,1,6
130,0.003,0,0.003,0.002,0,0,40,2.9,0,27.3,144,51,195,6,2,133,134,138,27,0,1,6
143,0.005,0.013,0.003,0,0,0,39,1.6,0,10,136,60,196,9,1,148,149,150,8,0,1,2
121,0,0.001,0.003,0.01,0.001,0,68,2.1,0,0,102,55,157,3,1,67,79,82,83,-1,3,8
145,0.002,0,0.002,0,0,0,50,0.7,12,6.5,65,103,168,8,0,153,155,156,3,1,2,5
126,0,0,0.005,0,0,0,28,1.3,0,10.8,34,107,141,1,0,127,128,128,3,0,1,1
138,0,0,0.004,0,0,0,45,1,20,12.3,99,81,180,8,2,162,156,159,8,1,2,5
125,0.008,0.007,0.007,0.005,0,0,23,2.1,0,5.5,125,53,178,8,0,143,128,137,65,1,1,6
135,0.007,0.002,0.006,0,0,0,62,0.9,1,8.2,41,119,160,1,0,148,142,146,8,0,1,2
129,0,0.34,0.004,0.002,0,0.003,30,2.1,0,8.5,128,54,182,13,0,129,104,120,138,0,3,8
127,0.011,0.033,0.002,0,0,0,38,1.4,0,7.2,113,61,174,6,1,129,144,141,45,1,1,4
130,0,0,0.005,0,0,0,49,0.6,25,5.4,14,129,143,1,0,137,136,138,0,0,1,1
140,0,0.008,0.006,0.002,0,0.003,62,2.4,2,0.3,56,85,141,3,0,131,123,130,11,1,3,8
122,0.001,0,0.006,0,0,0,22,1.7,0,13.9,37,105,142,0,0,125,124,126,3,0,1,1
141,0.005,0,0.008,0.001,0,0,57,0.7,1,8.1,69,102,171,4,0,160,152,156,13,1,1,2
123,0,0,0.001,0,0,0,73,0.3,72,5.2,28,108,136,3,0,123,124,125,1,0,3,9
138,0.001,0,0.003,0,0,0,39,0.8,12,10.5,49,105,154,5,0,141,141,142,1,1,1,1
154,0.003,0,0.002,0.001,0,0,44,2,0,26.3,147,50,197,10,10,153,158,162,27,1,1,2
136,0.005,0,0.003,0.004,0,0,37,1.2,0,8.6,94,64,158,2,0,139,137,141,21,1,1,6
137,0.01,0,0.006,0.004,0,0,56,1.6,0,7.1,136,52,188,5,0,148,143,157,59,1,1,6
133,0.002,0.001,0.009,0.003,0,0,56,2.2,0,7.2,90,71,161,2,1,139,120,139,19,1,1,6
145,0,0.007,0.002,0,0,0,41,1.2,0,15.8,136,60,196,8,1,145,148,149,6,0,1,1
159,0,0,0.006,0,0,0,57,0.5,0,8.1,22,155,177,1,0,170,167,168,2,0,1,1
128,0,0.012,0.005,0.007,0,0.002,22,2.3,0,8.4,125,53,178,9,0,143,121,130,97,0,1,7
123,0,0,0,0,0,0,71,0.3,77,4.1,19,110,129,1,0,123,123,124,0,1,3,9
142,0,0,0.008,0,0,0,58,0.4,22,6.3,13,145,158,0,0,153,151,153,0,0,1,1
131,0,0,0.006,0.004,0,0,19,1.9,0,12.3,81,70,151,3,1,127,126,130,21,1,1,7
123,0,0,0.001,0,0,0,74,0.3,64,5.9,52,84,136,3,0,123,124,126,1,1,2,10
141,0,0.003,0,0,0,0,77,0.3,72,3.2,9,138,147,1,0,144,143,145,0,1,3,9
125,0.003,0.012,0.004,0.006,0,0,22,2.2,0,8.5,125,53,178,9,0,143,123,131,84,0,1,6
129,0.007,0,0.006,0,0,0,23,1.5,0,12.6,44,115,159,1,0,133,139,141,11,0,1,2
145,0.003,0,0.002,0,0,0,49,0.6,0,7,26,145,171,1,0,154,157,158,4,0,1,2
142,0,0.003,0,0,0,0,40,1.1,12,10.8,97,57,154,2,0,148,144,147,4,1,1,1
124,0.005,0.015,0.002,0,0,0,46,0.8,0,7.5,52,90,142,4,0,129,130,131,2,1,1,2
139,0.002,0,0.005,0,0,0,35,1,0,11.6,28,131,159,0,0,144,143,145,1,0,1,1
129,0,0.003,0,0,0,0,47,1.1,6,21.9,91,52,143,3,0,131,130,132,7,1,1,1
120,0.012,0.085,0.001,0,0,0,36,2.1,0,0.9,140,53,193,13,0,167,151,158,56,1,1,4
143,0,0,0.003,0,0,0,66,0.4,4,12.4,56,106,162,4,1,145,144,146,1,1,1,1
119,0.005,0,0.005,0,0,0,31,1.4,0,10.7,134,58,192,7,0,127,127,127,7,0,1,2
135,0.012,0.002,0.002,0,0,0,59,1,0,0.5,39,124,163,1,0,148,143,146,6,0,1,2
140,0,0,0.002,0,0,0,53,0.7,0,14.8,84,72,156,4,0,143,145,146,3,1,1,1
112,0,0,0.006,0,0,0,25,1.3,0,9.3,34,104,138,4,1,119,116,118,2,0,1,1
121,0,0,0.003,0.005,0,0.002,24,1.5,0,0,68,71,139,2,0,123,106,108,53,0,1,7
